                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     52,               0.055475,               0.025079,               0.026671,               0.021562,                0.34588,                0.77525,                0.56994,                0.27426,                0.36392,                0.78448,                 0.6049,                0.39597,               0.046536,               0.025104,               0.018341,               0.019269,               0.007705,               0.007705,               0.007705
                     53,               0.052501,               0.025492,               0.026988,               0.020773,                0.30512,                0.69771,                0.52158,                0.28456,                0.29149,                0.66222,                0.52232,                0.27152,               0.045741,               0.023594,               0.018623,                0.01919,                0.00766,                0.00766,                0.00766
                     54,               0.056015,               0.022581,               0.026184,               0.020223,                0.32344,                0.72963,                0.58436,                0.27868,                0.33971,                0.73564,                0.63546,                0.40788,               0.044424,               0.022466,               0.018818,               0.019101,               0.007615,               0.007615,               0.007615
                     55,               0.051533,               0.025844,               0.028266,               0.020064,                0.30244,                0.65786,                 0.4835,                   0.24,                0.28057,                0.62196,                0.47907,                0.25139,               0.048418,               0.022442,               0.018307,               0.019119,                0.00757,                0.00757,                0.00757
                     56,               0.051989,               0.029291,               0.026832,                0.02043,                0.40652,                0.70248,                 0.6294,                0.34529,                 0.3966,                0.70317,                0.61013,                0.39525,               0.043607,               0.023683,               0.018737,               0.019333,               0.007525,               0.007525,               0.007525
                     57,               0.043485,               0.027724,               0.026581,               0.020738,                 0.4276,                 0.7573,                0.65085,                0.39041,                 0.4079,                0.72997,                0.60894,                0.32808,               0.034065,                0.02844,               0.018137,               0.019443,                0.00748,                0.00748,                0.00748
                     58,               0.040806,               0.029179,               0.026712,               0.020906,                0.28676,                0.82428,                0.56036,                 0.2524,                 0.3086,                0.85754,                0.58436,                0.36446,               0.051125,               0.024998,               0.018938,               0.018907,               0.007435,               0.007435,               0.007435
                     59,               0.055704,               0.024961,               0.023323,               0.019808,                0.37038,                 0.6856,                0.49796,                0.29149,                0.35756,                0.66985,                0.48328,                0.26346,               0.045218,               0.025428,               0.018952,               0.018714,                0.00739,                0.00739,                0.00739
                     60,               0.051185,                 0.0244,               0.026166,               0.020166,                0.37659,                0.73777,                0.53958,                0.28455,                0.40544,                0.76223,                0.59132,                0.37878,               0.042025,                0.02706,               0.019338,               0.018724,               0.007345,               0.007345,               0.007345
                     61,               0.049442,               0.027426,               0.029247,               0.019549,                0.43792,                 0.7376,                0.62279,                0.35241,                0.40566,                0.66874,                0.57802,                0.32295,               0.041624,               0.025229,               0.017181,               0.018316,                 0.0073,                 0.0073,                 0.0073
                     62,                0.04922,                0.02402,               0.026191,               0.018962,                0.37464,                 0.8073,                0.65029,                0.32689,                0.34498,                0.78713,                0.63179,                0.39023,               0.043916,               0.025369,               0.017912,               0.018386,               0.007255,               0.007255,               0.007255
                     63,               0.045914,                 0.0274,               0.024521,                0.02057,                0.38855,                0.79271,                0.63992,                0.37365,                0.37017,                0.81878,                0.62546,                0.31559,               0.036786,               0.025108,                0.01703,               0.018139,                0.00721,                0.00721,                0.00721
                     64,               0.050472,               0.027249,               0.026259,               0.018526,                0.34541,                0.63952,                0.56532,                0.31451,                0.39384,                0.64381,                0.60258,                 0.3598,               0.043139,               0.026307,               0.018966,               0.018312,               0.007165,               0.007165,               0.007165
                     65,               0.043965,               0.025185,               0.025469,               0.019352,                0.43168,                0.69106,                0.63637,                0.35762,                0.46412,                 0.6954,                 0.6239,                0.35735,               0.036911,               0.027024,               0.018414,               0.018219,                0.00712,                0.00712,                0.00712
                     66,               0.038029,                 0.0239,               0.027452,               0.018878,                0.32933,                0.69688,                0.55877,                0.27625,                0.36173,                 0.6829,                0.56575,                 0.3428,               0.049113,               0.026696,               0.018353,               0.018138,               0.007075,               0.007075,               0.007075
                     67,               0.054858,               0.022583,               0.023995,               0.018732,                0.38209,                0.80756,                0.64112,                0.31197,                0.38602,                0.80686,                0.64215,                0.34368,               0.044025,               0.026455,               0.017542,               0.017862,                0.00703,                0.00703,                0.00703
                     68,               0.048534,               0.025524,               0.026808,               0.018675,                0.47136,                0.83597,                0.65935,                 0.4104,                0.39482,                0.80417,                0.61438,                0.36284,               0.035323,               0.025103,               0.016838,               0.017782,               0.006985,               0.006985,               0.006985
                     69,               0.045028,               0.023269,               0.024727,               0.018364,                0.41844,                0.78899,                0.61878,                0.31309,                0.41328,                 0.7655,                0.60552,                0.35433,               0.038399,               0.025249,               0.016947,               0.017776,                0.00694,                0.00694,                0.00694
                     70,               0.046259,               0.024163,               0.027677,               0.018387,                0.46652,                0.73675,                0.64799,                0.38902,                0.46221,                0.73087,                0.61799,                 0.3897,               0.036555,                0.02541,               0.017034,               0.017779,               0.006895,               0.006895,               0.006895
                     71,               0.045693,                0.02477,               0.025358,               0.018599,                0.46017,                0.74736,                0.65424,                0.39971,                0.45887,                 0.7088,                0.63042,                0.38358,               0.036838,               0.023838,               0.017689,               0.017768,                0.00685,                0.00685,                0.00685
                     72,               0.047473,               0.026308,               0.027653,               0.018933,                 0.4624,                0.86449,                0.64859,                0.40163,                0.42863,                0.82328,                0.62455,                0.34422,               0.034312,               0.023565,               0.016639,               0.017715,               0.006805,               0.006805,               0.006805
                     73,                0.04086,               0.025315,               0.027518,               0.018597,                0.45148,                 0.8441,                0.64361,                0.42782,                0.45711,                0.85641,                0.67472,                 0.4274,                0.03055,                0.02414,               0.016396,               0.017739,                0.00676,                0.00676,                0.00676
                     74,               0.035466,               0.023121,               0.022855,               0.019637,                0.54037,                0.79226,                0.68811,                0.36112,                0.48502,                0.75407,                0.61781,                0.32315,               0.037442,               0.024313,                0.01792,               0.017651,               0.006715,               0.006715,               0.006715
                     75,               0.045908,               0.025069,               0.025191,               0.018345,                0.49743,                0.82581,                0.70032,                 0.4228,                0.45129,                 0.8015,                0.65999,                0.39563,               0.036985,               0.023908,               0.017309,               0.017416,                0.00667,                0.00667,                0.00667
                     76,               0.043303,               0.022859,               0.022664,               0.018011,                0.51194,                0.80935,                0.68004,                0.39471,                 0.4949,                0.78385,                0.64147,                0.35984,               0.038254,               0.023565,               0.017906,               0.017315,               0.006625,               0.006625,               0.006625
                     77,               0.043725,               0.023664,               0.027629,               0.018527,                0.47923,                 0.8254,                0.69126,                0.41075,                0.47237,                0.81204,                0.67253,                0.37613,               0.035061,               0.023312,               0.016721,               0.017222,                0.00658,                0.00658,                0.00658
                     78,               0.040859,               0.021151,               0.024357,                0.01743,                0.47387,                0.84851,                0.69013,                0.39739,                0.44479,                0.83974,                0.65465,                0.38811,               0.035566,               0.022654,               0.016864,               0.017239,               0.006535,               0.006535,               0.006535
                     79,               0.041534,               0.021414,               0.024962,               0.017508,                 0.4617,                0.82418,                0.70322,                0.43367,                0.44426,                0.80481,                0.65946,                0.33717,               0.037351,               0.022547,               0.017474,               0.017357,                0.00649,                0.00649,                0.00649
                     80,               0.040377,               0.023698,                 0.0247,               0.019502,                0.48186,                0.80603,                0.70735,                0.44682,                0.48679,                0.81819,                0.72006,                0.46839,               0.032633,               0.022055,               0.016088,               0.017298,               0.006445,               0.006445,               0.006445
                     81,               0.037693,               0.024398,               0.024599,               0.017586,                0.52499,                   0.82,                0.73021,                0.47867,                0.47779,                0.84851,                0.68564,                 0.3709,               0.028608,               0.022127,               0.016696,                0.01713,                 0.0064,                 0.0064,                 0.0064
                     82,               0.033602,               0.021009,               0.024761,               0.017762,                 0.4898,                0.79694,                0.64912,                0.37502,                0.50017,                0.79425,                0.64321,                 0.3811,               0.040765,               0.024916,               0.020935,                0.01702,               0.006355,               0.006355,               0.006355
                     83,               0.044646,               0.022071,               0.024704,               0.017719,                0.51189,                0.79305,                0.70147,                 0.4282,                0.48969,                0.78091,                0.66085,                  0.349,               0.036265,               0.023376,               0.018667,               0.016905,                0.00631,                0.00631,                0.00631
                     84,               0.040782,                0.01896,               0.022553,               0.016865,                0.48704,                 0.8459,                 0.7212,                0.39555,                0.46292,                0.79037,                0.70268,                0.46585,               0.035239,               0.023424,               0.018125,               0.016806,               0.006265,               0.006265,               0.006265
                     85,               0.044087,               0.026536,               0.027027,               0.018157,                0.50584,                0.82571,                0.72841,                0.44849,                0.47985,                0.81069,                0.69843,                0.36232,               0.032732,               0.024587,               0.017398,               0.016684,                0.00622,                0.00622,                0.00622
                     86,               0.040655,               0.022902,               0.026701,               0.016918,                0.48761,                0.78577,                0.70731,                0.42137,                0.48802,                0.79719,                0.69133,                0.43461,               0.035411,               0.024045,               0.017127,               0.016667,               0.006175,               0.006175,               0.006175
                     87,               0.041187,               0.021907,               0.023491,               0.017401,                0.50633,                0.80338,                0.71539,                0.44406,                0.50016,                0.76615,                0.69188,                0.38144,               0.030581,               0.025399,               0.016557,               0.016624,                0.00613,                0.00613,                0.00613
                     88,               0.039965,               0.024448,               0.024265,               0.017111,                0.57923,                0.79963,                0.74778,                0.47718,                0.54252,                0.73913,                0.69524,                0.41617,               0.031323,               0.025087,               0.016656,               0.016731,               0.006085,               0.006085,               0.006085
                     89,               0.038713,               0.024943,               0.022487,               0.017242,                 0.6008,                0.80023,                0.74825,                 0.5096,                0.55981,                0.77287,                0.70572,                0.40918,               0.028251,               0.024281,               0.016107,               0.016777,                0.00604,                0.00604,                0.00604
                     90,               0.034459,               0.024222,               0.021795,               0.018212,                0.58495,                0.79301,                0.74559,                0.43836,                0.59702,                0.72874,                 0.6994,                0.37161,               0.036668,               0.023246,               0.017413,               0.016397,               0.005995,               0.005995,               0.005995
                     91,               0.041607,               0.020763,               0.022988,               0.017035,                0.55059,                 0.8139,                0.76846,                0.49558,                0.53044,                0.78467,                0.72828,                0.44725,               0.031201,               0.022406,               0.016895,               0.016396,                0.00595,                0.00595,                0.00595
                     92,               0.039443,               0.021229,               0.019549,               0.016676,                0.57586,                0.75998,                0.73436,                0.38874,                0.52533,                0.77474,                0.68064,                0.34169,               0.037669,               0.022544,               0.017326,               0.016413,               0.005905,               0.005905,               0.005905
                     93,               0.044456,               0.022457,               0.026062,               0.017276,                0.58669,                0.80962,                0.78505,                0.50882,                0.56308,                0.78946,                0.74359,                0.48925,               0.029499,                0.02221,               0.016226,               0.016215,                0.00586,                0.00586,                0.00586
                     94,               0.039772,               0.023784,               0.023338,               0.017402,                 0.5604,                0.78414,                0.74176,                0.37987,                0.50095,                 0.7105,                0.61744,                0.29257,               0.040489,               0.022202,               0.017123,                0.01629,               0.005815,               0.005815,               0.005815
                     95,               0.040585,               0.021974,               0.022069,               0.017064,                0.55415,                0.80844,                0.77707,                0.48776,                 0.5245,                0.74862,                 0.7211,                0.47565,               0.031335,               0.022323,               0.016446,               0.016125,                0.00577,                0.00577,                0.00577
                     96,               0.037239,                0.02222,               0.025026,               0.016843,                0.55912,                0.77865,                0.75379,                0.41148,                0.52217,                0.73303,                0.67097,                0.32903,               0.033966,               0.022115,                 0.0169,               0.016454,               0.005725,               0.005725,               0.005725
                     97,               0.034687,               0.022423,               0.024769,               0.016834,                0.58903,                0.80943,                0.78568,                0.54047,                0.56678,                0.77185,                0.74922,                0.41722,               0.026646,                0.02213,               0.015502,               0.016104,                0.00568,                0.00568,                0.00568
                     98,               0.033583,               0.023671,               0.021156,               0.016244,                0.58428,                   0.84,                 0.7648,                0.40221,                0.54087,                0.73907,                0.66731,                 0.3238,               0.039679,               0.023742,               0.016767,               0.015868,               0.005635,               0.005635,               0.005635
                     99,               0.047282,               0.021855,               0.024528,               0.017025,                0.63999,                0.82461,                0.77468,                0.51639,                0.62875,                0.81248,                0.78573,                0.48781,               0.031295,               0.023971,               0.015602,               0.015804,                0.00559,                0.00559,                0.00559
                    100,               0.035304,               0.022105,                 0.0214,               0.016365,                0.69276,                0.81636,                 0.7949,                0.44617,                0.60461,                0.74206,                0.69931,                0.34694,               0.035585,               0.023221,               0.017615,               0.015986,               0.005545,               0.005545,               0.005545
                    101,               0.040784,               0.021226,               0.023233,               0.016632,                0.67556,                0.84989,                0.82804,                0.49645,                0.62398,                0.77921,                0.74731,                0.45566,               0.035875,                0.02322,               0.017067,               0.015795,                 0.0055,                 0.0055,                 0.0055
                    102,               0.038965,                0.02275,                0.02406,               0.016058,                  0.709,                0.83915,                0.82856,                0.50263,                0.64065,                0.75715,                0.71959,                0.36798,               0.031502,               0.023168,               0.016432,               0.015665,               0.005455,               0.005455,               0.005455
